controller,stage2_rank,sample_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,control_effort,max_abs_ax_m_s2,max_ax_step_m_s2,max_thrust_N,max_abs_torque_Nm
pid,2,wind_1p5__-z_r0.25,True,True,4.04,0.07250040844490525,0.28260231752852993,,,0.034651372822044425,0.0788018496535196,0.0060931763856398695,136.1770573727683,0.053203983883370526
pid,2,wind_3p0__-z_r0.25,True,False,,0.22380702553847565,0.9157172838857625,,,0.5828603595948976,0.3052287195558843,0.02442367632324384,136.2075358093274,0.17306717735123298
pid,2,stochastic_dev_0000,True,True,2.2700000000000005,0.07007279281947613,0.5478503733256646,,,0.02526468493523011,0.1257327043762448,0.11974077505493368,129.89525816398069,0.17500888824064098
pid,2,stochastic_dev_0001,True,False,,0.07339120633498417,0.9687746537103129,,,0.05223813835191844,0.13716558703138698,0.1227710337708796,129.9074965500609,0.23825431321693147
pid,2,stochastic_dev_0002,True,False,,0.591877949775555,0.5651634296152622,,,0.02538323976972571,0.11671181396671122,0.01059951016367365,132.5162675846788,4.069600935809558
pid,2,stochastic_dev_0003,True,False,,0.5908183551636375,0.3160548757010212,,,0.010861982390108289,0.06295602389412171,0.006343591754127492,132.5183279592321,4.070268025291888
pid,2,stochastic_dev_0004,True,True,1.0949999999999998,0.04373819804955489,0.46415618386922186,,,0.01777071486513972,0.1079733440413156,0.009337805906159652,139.81471830746423,0.11461045807847814
pid,2,stochastic_dev_0005,True,True,1.0700000000000003,0.040738302458134056,0.3887400510964136,,,0.009538240690310028,0.06970731059772543,0.004918949137415904,133.69001005994005,0.08105891801927917
pid,2,stochastic_dev_0006,True,False,,0.12038275919557405,1.0139596178497527,,,0.06835017425402395,0.2177172615737491,0.20193980488033167,129.91643566126228,0.32522138190307026
pid,2,stochastic_dev_0007,True,True,2.455,0.06725872055671592,0.3934777339845129,,,0.02057019295771651,0.15214407846888955,0.19650973957395473,129.89568803890097,0.3440939888262475
pid,2,stochastic_dev_0008,True,False,,1.0272893197239843,0.24229049734633837,,,0.00896074027627445,0.0850051639523055,0.011467294671763443,131.60088566171524,4.851305265229624
pid,2,stochastic_dev_0009,True,False,,1.0270559929774778,0.10758822984994391,,,0.0014054037288429592,0.038328510567199284,0.005048601706507713,131.6022290908989,4.850981144637572
pid,2,stochastic_dev_0010,True,False,,0.0818694443306724,0.9010993982820612,,,0.04937510625220523,0.18008187571833556,0.01818277676453231,144.86137824883818,0.13996115287136948
pid,2,stochastic_dev_0011,True,True,1.2649999999999997,0.051845178990858005,0.12557451558160587,,,0.0016108933691857661,0.02633885519828109,0.0036451862357015858,136.17574924565145,0.03388496298920203
pid,2,stochastic_dev_0012,True,True,2.8,0.06089840634457643,0.46744585650438086,,,0.01543848957835845,0.11047299954462655,0.12115036806619577,129.89114763246408,0.19749179319369192
pid,2,stochastic_dev_0013,True,True,4.085,0.07087443015557367,0.6311250740714264,,,0.030412415363844862,0.13104354960678977,0.1228794766418004,129.89747398680748,0.19727582474753358
pid,2,stochastic_dev_0014,True,False,,0.5912895046722761,0.5359063649784106,,,0.019223031990634756,0.09947951489225808,0.008666327661944584,132.52671731530614,4.069621592296955
pid,2,stochastic_dev_0015,True,False,,0.5905132420214884,0.1382472262790423,,,0.004473240662423327,0.05048709950671494,0.006152731914581766,132.5171254304476,4.0705089218805215
pid,2,stochastic_dev_0016,True,True,1.1050000000000004,0.03752953805248602,0.3672659157202444,,,0.006281045952416527,0.06272889435335723,0.007804501265276622,139.81500073196375,0.07067887627916287
pid,2,stochastic_dev_0017,True,True,1.08,0.03918841877013317,0.1742169170893633,,,0.010573494646239207,0.08551497112307578,0.00923398222836045,133.69100722110005,0.03455156803899282
pid,2,stochastic_dev_0018,True,False,,0.11215712514641772,0.7744822800678443,,,0.048068788042833474,0.19747628906988726,0.20116841571622157,129.90330250363536,0.3027299155717312
pid,2,stochastic_dev_0019,True,False,,0.10667515882586202,1.0405676163159865,,,0.07068861147031835,0.19490326577262496,0.20014711596621612,129.91574580578404,0.3119350471231717
pid,2,ramp_dev_0_to_3p0,True,True,0.0,0.14255418572091066,0.3668469195512356,0.16588109346383653,0.23185222195892075,0.25868170648186833,0.24932670879925178,0.0041255641836880075,129.93230217054318,0.07243276593051154
pid,3,calm__+x_r0.15,True,True,5.295,0.07283275388926441,0.3860266425212093,,,0.010906892108834464,0.12,0.12,129.88851259545683,0.1891543217465406
pid,3,wind_1p5__+x_r0.15,True,True,1.96,0.053927268414190495,0.5457242143408977,,,0.05129597928707007,0.1227075504949847,0.11952309561018988,129.89540068326556,0.18044813540811802
pid,3,wind_3p0__+x_r0.15,True,False,,0.18872421030636902,1.2692736650274166,,,0.6282716611122747,0.38360998372172794,0.11760814150385818,129.96730830831558,0.22350058500002698
pid,3,calm__-x_r0.15,True,True,5.295,0.07282584554686371,0.3860266425212093,,,0.010906892108834464,0.12,0.12,129.88851259545683,0.1891543217465406
pid,3,wind_1p5__-x_r0.15,True,False,,0.11981536322627782,0.2912188640176773,,,0.041458230927701394,0.15062864040453347,0.12047690438981014,129.8966403348078,0.19784488869544908
pid,3,wind_3p0__-x_r0.15,True,False,,0.2889115241716612,1.0034561537085036,,,0.6077632553568693,0.38360998372172794,0.12239185849614181,129.98971207351673,0.20097710597278315
pid,3,calm__+y_r0.15,True,False,,1.4611399946469152,0.0,,,0.0,0.0,0.0,136.53446119399752,4.070504685932759
pid,3,wind_1p5__+y_r0.15,True,False,,0.5930290387632644,0.3398027882507449,,,0.03771266026705189,0.09671086497481135,0.011555702533271595,132.51747029405163,4.070112388205746
pid,3,wind_3p0__+y_r0.15,True,False,,0.6341455009106757,1.1196904251887863,,,0.6147773148867745,0.38360998372172794,0.0463759888382628,132.5266519853304,4.067664165532358
pid,3,calm__-y_r0.15,True,False,,1.4611399946469152,0.0,,,0.0,0.0,0.0,136.53446119399752,4.070504685932759
pid,3,wind_1p5__-y_r0.15,True,False,,0.5930290387632644,0.3398027882507449,,,0.03771266026705189,0.09671086497481135,0.011555702533271595,132.51747029405163,4.070112388205746
pid,3,wind_3p0__-y_r0.15,True,False,,0.6341455009106757,1.1196904251887863,,,0.6147773148867745,0.38360998372172794,0.0463759888382628,132.5266519853304,4.067664165532358
pid,3,calm__+z_r0.15,True,True,1.065,0.029206261724303247,0.0,,,0.0,0.0,0.0,139.8144,0.0
pid,3,wind_1p5__+z_r0.15,True,True,3.4450000000000003,0.06499235153459995,0.3451511954772984,,,0.037697737646036344,0.09671086497481135,0.011555702533271595,139.81879524812754,0.06562848016375089
pid,3,wind_3p0__+z_r0.15,True,False,,0.23479830927014017,1.1365548389341582,,,0.6113806189344246,0.38360998372172794,0.0463759888382628,139.88911140504166,0.20097710597278315
pid,3,calm__-z_r0.15,True,True,1.065,0.029206261724303375,0.0,,,0.0,0.0,0.0,133.69032302575295,0.0
