sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction
dev_strong_preexisting_03,STRONG_PREEXISTING,corrected_pid,hybrid_x007_y041_z041,True,False,,0.31583936168698395,1.55954576419804,0.4163077776144411,0.3786730950366401,2.804043109809891,1.140716459338526,0.25,134.76680821605586,1.0912880870228316,0.13293081269824256,[],0.0705,0.0,0.004149377593360996
dev_strong_simultaneous_03,STRONG_SIMULTANEOUS,corrected_pid,hybrid_x007_y041_z041,True,False,,0.2828189023420816,1.200592079955668,0.39478865276006825,0.3856591673509815,2.540757134742084,1.1407213132866332,0.25,134.74353020121768,1.092016231837533,0.13130612375830258,[],0.0653,0.0,0.004149377593360996
dev_strong_post_target_03,STRONG_POST_TARGET,corrected_pid,hybrid_x007_y041_z041,True,False,,0.3656504776646455,0.9744789657639444,0.4475968213814419,0.5013092178867827,8.539302708441,2.0,0.25,134.6327569319351,2.8796956962454474,0.1571733526341659,[],0.0692,0.11203319502074689,0.004149377593360996
dev_ramp_target_03,RAMP_STRONG,corrected_pid,hybrid_x007_y041_z041,True,False,,0.2387076607436833,0.6517133484155009,0.23223252839471836,0.37087335400684074,2.1857253179998786,1.1426024505700636,0.25,134.6328164013003,1.0931375697162926,0.0731911899482942,[],0.0451,0.0,0.004149377593360996
dev_calm_04,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,False,,0.30866244079384597,0.1905584143363726,0.17999999999999997,0.38881530119866825,8.632235738651094,2.0,0.25,131.1983265887263,2.6170923595198965,0.16012927862865262,[],0.0666,0.12863070539419086,0.004149377593360996
dev_constant_2p0_04,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.31397474749922216,0.612338012405394,0.18381025358281072,0.39066110494675366,8.747564541722946,2.0,0.25,131.19688755026584,2.6164200828315125,0.16037228839816095,[],0.0426,0.12863070539419086,0.004149377593360996
dev_strong_preexisting_04,STRONG_PREEXISTING,corrected_pid,hybrid_x007_y041_z041,True,False,,0.439555797362283,1.4242190633310527,0.42709016392815485,0.5605302812143955,9.761863730396753,2.0,0.25,131.2394310054896,2.6153632360986427,0.16141790520026764,[],0.0669,0.12863070539419086,0.004149377593360996
dev_strong_simultaneous_04,STRONG_SIMULTANEOUS,corrected_pid,hybrid_x007_y041_z041,True,False,,0.40515855302537007,1.2106223189406267,0.41956886689650713,0.5591933502209798,9.509866529296891,2.0,0.25,131.1740738470977,2.617281372676934,0.16449653875904582,[],0.044,0.12863070539419086,0.004149377593360996
dev_strong_post_target_04,STRONG_POST_TARGET,corrected_pid,hybrid_x007_y041_z041,True,False,,0.6133322560477602,1.1164739847421354,0.4844771715230002,0.8812984966020838,16.52002103243914,2.0,0.25,136.44739935550552,4.344760839037997,0.19613310094192118,[],0.0543,0.2572614107883817,0.05394190871369295
dev_ramp_target_04,RAMP_STRONG,corrected_pid,hybrid_x007_y041_z041,True,False,,0.35963148574670395,0.5268968957892981,0.21600984045264238,0.5215563171159487,9.138062138294025,2.0,0.25,131.23833555095837,2.6170991004768123,0.16078663528490436,[],0.071,0.12863070539419086,0.004149377593360996
dev_calm_05,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,2.5149999999999997,0.13188075176979566,0.23432613043274877,0.18,0.15648933283326474,2.0919457242755657,1.266306931341269,0.25,136.50455312605575,1.2097209587547109,0.08009295604007277,[],0.0707,0.0,0.008298755186721992
