time,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,event,control_tick
0.90000000000000002,0,0,0,0,3.2000000000000002,0,hover,180
0.90500000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.91000000000000003,0,0,0,0,3.2000000000000002,0,hover,-1
0.91500000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.92000000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.92500000000000004,0,0,0,0,3.2000000000000002,0,hover,-1
0.93000000000000005,0,0,0,0,3.2000000000000002,0,hover,-1
0.93500000000000005,0,0,0,0,3.2000000000000002,0,hover,-1
0.94000000000000006,0,0,0,0,3.2000000000000002,0,hover,-1
0.94500000000000006,0,0,0,0,3.2000000000000002,0,hover,-1
0.95000000000000007,0,0,0,0,3.2000000000000002,0,hover,190
0.95500000000000007,0,0,0,0,3.2000000000000002,0,hover,-1
0.95999999999999996,0,0,0,0,3.2000000000000002,0,hover,-1
0.96499999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.96999999999999997,0,0,0,0,3.2000000000000002,0,hover,-1
0.97499999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.97999999999999998,0,0,0,0,3.2000000000000002,0,hover,-1
0.98499999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.98999999999999999,0,0,0,0,3.2000000000000002,0,hover,-1
0.995,0,0,0,0,3.2000000000000002,0,hover,-1
1,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,200
1.0050000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.01,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.0150000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.02,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.0249999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.03,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.0349999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.04,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.0449999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.05,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,210
1.0549999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.0600000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.0649999999999999,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.0700000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.075,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.0800000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.085,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.0900000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.095,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,-1
1.1000000000000001,0.29999999999999999,0,0,0,3.2000000000000002,0,setpoint_issued,220
