time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,raw_ax,raw_ay,raw_az,integral_x,integral_y,integral_z,saturated,slew_limited,roll_deg,pitch_deg,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x,qp_status,qp_iterations,limiter_mismatch,steady_state_residual,steady_task_residual,d_raw_norm,d_hat_norm,d_projected_norm,d_rejected_norm
7.48,0.017074151762733743,0.006724480739168333,0.12983448889302257,0.001603419414864163,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.1460436007293955e-15,-0.235871107501015,0.15672855240441877,2.7811643370116386e-16,3.1995561554187897,0.3920739328367595,2.2184720767620175e-16,0.39008646330255714,0.375,0.0,0.38999999999999996,1.2951362461845228,129.84185019300438,0.031709024849571006,0.6886,0.5509175762027294,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
7.485,0.01710762708140055,0.006705038172111522,0.12936670622977006,0.0016615720584652097,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.1482098996393894e-15,-0.23759178185993185,0.15675778647316738,2.7630522304859164e-16,3.199555559817386,0.3921074205364524,2.199286263586206e-16,0.3900840651249651,0.375,0.0,0.38999999999999996,1.4667111689907022,129.8418528003136,0.03120539951287013,0.6886,0.7073960833829133,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
7.49,0.01714106223997965,0.00671700095935298,0.128852428105426,0.0019303150418977545,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.150255608363414e-15,-0.2392735367763989,0.15678721308954255,2.744975721057679e-16,3.19955488138109,0.3921408689487105,2.1801952866935278e-16,0.3900814026903066,0.375,0.0,0.38999999999999996,1.485034650177828,129.8418552354893,0.030736388408701507,0.6886,0.7251957931629712,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
7.495,0.01717453457764395,0.006734158579894431,0.12825631627760692,0.002232309963039079,True,False,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,-0.047076303268121907,-1.160690903479006e-15,-0.0033244324790522393,0.0,0.0,0.0,False,False,-1.1521808570547886e-15,-0.24091759295220236,0.15681698045360712,2.7269349108974036e-16,3.1995541197768076,0.3921743559163592,2.1611991567758282e-16,0.39007833783827633,0.375,0.0,0.38999999999999996,1.3559354174609264,129.84185750794543,0.030271743523407633,0.6886,0.6040108244920934,solved,25,0.0,4.978168711774513e-18,4.871461277682513e-10,0.0060172388667459895,0.003841767929217841,0.0038396029599281215,0.0001289570939420071
7.5,0.017208005076785292,0.0067288568666669666,0.12759825585640308,0.00236213249803095,True,False,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,0.0,0.0,0.0,False,False,-1.1539857770129563e-15,-0.24252426266250943,0.15684698843834874,2.708929897218069e-16,3.1995532751893663,0.39220784186019275,2.1422979217137923e-16,0.3900749482305753,0.375,0.0,0.38999999999999996,1.2262140465565732,129.8451063257195,0.0005999321700907653,0.8636,0.4934462058995944,solved,25,0.0,5.6081707929963005e-18,6.345617475340766e-10,0.005116483331373763,0.004139749553620702,0.004137256165610397,0.0001436585772642153
7.505,0.01724138130738484,0.006701887271732015,0.12692661257009907,0.0023255147445686132,True,False,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,0.0,0.0,0.0,False,False,-1.1556731712594824e-15,-0.24411497903677165,0.15687702148141572,2.690961072894621e-16,3.1995523511378265,0.3922412333588329,2.1234905932099632e-16,0.3900714258560176,0.375,0.0,0.38999999999999996,1.2161967296348035,129.8451151278648,0.0011609908364732524,0.8636,0.4854151154517039,solved,25,0.0,5.6081707929963005e-18,6.345617475340766e-10,0.005116483331373763,0.004139749553620702,0.004137256165610397,0.0001436585772642153
7.51,0.017274616398800187,0.006673437774092938,0.12626845040000367,0.0022677804832638435,True,False,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,0.0,0.0,0.0,False,False,-1.157245841094459e-15,-0.2457104358263088,0.1569069630678932,2.6730288255447336e-16,3.1995513509029094,0.3922744830340646,2.104776163646203e-16,0.3900678795367611,0.375,0.0,0.38999999999999996,1.0759155622115137,129.84512385570878,0.0016903568564572702,0.8636,0.37938891701018496,solved,25,0.0,5.6081707929963005e-18,6.345617475340766e-10,0.005116483331373763,0.004139749553620702,0.004137256165610397,0.0001436585772642153
7.515000000000001,0.017307664103494148,0.006623276172688727,0.1256518522872341,0.0020376974402843678,True,False,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,0.0,0.0,0.0,False,False,-1.1587039155071117e-15,-0.24730879538738737,0.15693669955467238,2.65513323702654e-16,3.199550274651405,0.39230754421895364,2.0861546764083122e-16,0.3900644191613127,0.375,0.0,0.38999999999999996,0.90010797570256,129.8451324984758,0.0021635535569746664,0.8636,0.2649572985792638,solved,25,0.0,5.6081707929963005e-18,6.345617475340766e-10,0.005116483331373763,0.004139749553620702,0.004137256165610397,0.0001436585772642153
7.5200000000000005,0.017340428428450357,0.006549860900134047,0.12511917033498987,0.0016845510847725968,True,False,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,0.0,0.0,0.0,False,False,-1.160047524776322e-15,-0.24890764258656947,0.15696601986314507,2.6372743844716544e-16,3.1995491227239863,0.39234032039447475,2.0676261805452896e-16,0.39006121028649077,0.375,0.0,0.38999999999999996,1.0324521659052255,129.84514104278477,0.0025762972036273077,0.8636,0.34937009324334023,solved,25,0.0,5.6081707929963005e-18,6.345617475340766e-10,0.005116483331373763,0.004139749553620702,0.004137256165610397,0.0001436585772642153
7.525,0.01737289068961511,0.006492920331706072,0.12467027503558159,0.0014516014282142501,True,False,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,-0.0655933229923453,-1.0990884789090637e-15,-0.003157591405376188,0.0,0.0,0.0,False,False,-1.161276801052816e-15,-0.2505055050476207,0.1569948852324068,2.6194523402728487e-16,3.199547895116971,0.39237279302746353,2.0491906862274873e-16,0.390058252366733,0.375,0.0,0.38999999999999996,1.0843775032617085,129.84514948081454,0.0029792065657941458,0.8636,0.3857175302500805,solved,25,0.0,5.6081707929963005e-18,6.345617475340766e-10,0.005116483331373763,0.004139749553620702,0.004137256165610397,0.0001436585772642153
