time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,raw_ax,raw_ay,raw_az,integral_x,integral_y,integral_z,saturated,slew_limited,roll_deg,pitch_deg,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x,qp_status,qp_iterations,limiter_mismatch,steady_state_residual,steady_task_residual,d_raw_norm,d_hat_norm,d_projected_norm,d_rejected_norm
0.16,6.46140516732744e-20,2.1466556998262867e-16,0.0,3.1905650806783544e-21,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,1.320296709361016e-18,-0.0,1.5425918878680827e-22,-1.3825268201140265e-22,3.2,0.225,6.46140516732744e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.85766611441033e-18,0.6365,1.5706704955515932e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
0.165,7.13707751814446e-20,2.1466564768912466e-16,0.0,4.47747230734831e-21,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,1.4586313670984136e-18,-0.0,1.8012178478981118e-22,-1.6597981829626952e-22,3.2,0.225,7.13707751814446e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.694402889877257e-18,0.6365,1.8408464703173767e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
0.17,7.844824772920693e-20,2.146657422335098e-16,0.0,5.7884566589218665e-21,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,1.6035513024069452e-18,-0.0,2.0924888823112597e-22,-1.959246349140055e-22,3.2,0.225,7.844824772920693e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.537879234613205e-18,0.6365,2.140613988036487e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
0.17500000000000002,8.583251420905952e-20,2.146658536238492e-16,0.0,7.126560039988103e-21,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,1.7547842538885678e-18,-0.0,2.4188993836954985e-22,-2.2868951888689713e-22,3.2,0.225,8.583251420905952e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.478678440342367e-18,0.6365,2.4717084385666994e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
0.18,9.351003565827034e-20,2.1466598105858088e-16,0.0,8.493871940290893e-21,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,1.9120669671785364e-18,-0.0,2.7830082769258888e-22,-2.6490245117440546e-22,3.2,0.225,9.351003565827034e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.501499347013056e-18,0.6365,2.8359137144419888e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
0.185,1.0146767687267794e-19,2.1466612282766164e-16,0.0,9.890825816597102e-21,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,2.0751449281236537e-18,-0.0,3.187434983714364e-22,-3.0521630693297823e-22,3.2,0.225,1.0146767687267794e-19,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.525351111664877e-18,0.6365,3.2350725923790518e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
0.19,1.0969269551410427e-19,2.1466627624117573e-16,0.0,1.131563823242877e-20,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,2.2437721193748007e-18,-0.0,3.6348542575641897e-22,-3.5030781048741907e-22,3.2,0.225,1.0969269551410427e-19,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.550187300994871e-18,0.6365,3.671095800044767e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
0.195,1.181727312539072e-19,2.1466643758913549e-16,0.0,1.2763909078561973e-20,True,False,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,5.161259973592781e-18,3.9172166604253975e-18,1.690795719147993e-15,0.0,0.0,0.0,False,False,2.4177107784274424e-18,-0.0,4.127991455094811e-22,-4.0087652517703544e-22,3.2,0.225,1.181727312539072e-19,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.575963055544068e-18,0.6365,4.145968409049075e-40,solved,25,0.0,8.737765049027869e-32,3.875849981903037e-27,7.059652381827563e-17,6.567520971646455e-17,6.56752091887156e-17,8.325866120494532e-21
0.2,1.2689579501243205e-19,2.1466660213486458e-16,0.0,1.4228439739082095e-20,True,False,4.636239834939073e-18,1.0181458777401497e-17,1.8072115056654493e-15,4.636239834939073e-18,1.0181458777401497e-17,1.8072115056654493e-15,0.0,0.0,0.0,False,False,2.5967311583083627e-18,-0.0,4.669618192840073e-22,-4.576438770837251e-22,3.2,0.225,1.2689579501243205e-19,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.1303156188347883e-17,0.6042,4.661752368036455e-40,solved,25,0.0,9.525750858449978e-32,5.8137282878909836e-27,8.498106474217458e-17,7.144956863569558e-17,7.144956704551259e-17,1.50743416848192e-20
0.20500000000000002,1.3582411135345967e-19,2.1466676847983485e-16,0.0,1.7485268385732685e-20,True,False,4.636239834939073e-18,1.0181458777401497e-17,1.8072115056654493e-15,4.636239834939073e-18,1.0181458777401497e-17,1.8072115056654493e-15,0.0,0.0,0.0,False,False,2.7800133318521982e-18,-0.0,5.261914074862499e-22,-5.18172997886039e-22,3.2,0.225,1.3582411135345967e-19,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.1321620333961456e-17,0.6042,5.202773321165415e-40,solved,25,0.0,9.525750858449978e-32,5.8137282878909836e-27,8.498106474217458e-17,7.144956863569558e-17,7.144956704551259e-17,1.50743416848192e-20
