time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5,ax_cmd,ay_cmd,az_cmd,controller_runtime_ms,wind_x,safe
0.165,2.643393142346486e-22,-2.8646937233336503e-22,3.2,6.030546072319277e-21,-7.852960596228146e-21,-2.14665479081601e-16,0.225,7.54659556155201e-20,0.38999999999999996,-1.1642587395436116e-20,-2.4385493948272574e-20,-2.146657247375642e-16,0.225,0.0,0.38999999999999996,-3.151340849986877e-20,-2.17785592998569e-21,5.863663978586484e-21,1.6913029560353816e-21,-8.200675427776423e-22,2.629680242879158e-19,-3.4586955096551255e-19,4.6824746032707126e-20,9.075085287153518e-20,-1.6849638674173424e-20,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,3.8545,0.0,True
0.17,2.9523170775109414e-22,-3.2752319177786537e-22,3.2,6.31786653348203e-21,-8.572487160510288e-21,-2.14665479081601e-16,0.225,7.678587841184865e-20,0.38999999999999996,-1.292874552513061e-20,-2.7779921981751173e-20,-2.14666003816327e-16,0.225,0.0,0.38999999999999996,-2.975494319791516e-20,-4.001118044352804e-21,6.0084406199533456e-21,2.177245324532944e-21,-8.943491242400315e-22,4.39280179953191e-19,-3.8103694737587925e-19,9.784058887197672e-21,1.0339523840979631e-19,-1.2586209086218444e-20,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,3.8528,0.0,True
0.17500000000000002,3.274369650114917e-22,-3.7225775512098804e-22,3.2,6.553613096026394e-21,-9.330055619685142e-21,-2.14665479081601e-16,0.225,7.975195502121472e-20,0.38999999999999996,-1.4170824018878482e-20,-3.1212858872881584e-20,-2.1466632648268292e-16,0.225,0.0,0.38999999999999996,-2.714914514182138e-20,-5.956986690573139e-21,5.948163911249077e-21,2.7222037466100825e-21,-9.42964992153331e-22,6.019228420902563e-19,-3.9912188896964476e-19,-3.48117880591062e-20,1.1409644151348235e-19,-6.524024313927318e-21,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,3.8512999999999997,0.0,True
0.18,3.6066648953251796e-22,-4.209318099329211e-22,3.2,6.7257113195719666e-21,-1.0152912047429948e-20,-2.14665479081601e-16,0.225,8.430313344997451e-20,0.38999999999999996,-1.5340037251362794e-20,-3.4716448695573485e-20,-2.1466669004949584e-16,0.225,0.0,0.38999999999999996,-2.376323987109874e-20,-7.963844180295911e-21,5.651101599671732e-21,3.3126012531593974e-21,-9.561145240756309e-22,7.513737927601388e-19,-4.0170472748090267e-19,-8.451625090303091e-20,1.2133056616535077e-19,1.6404682951152427e-21,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,3.8556999999999997,0.0,True
0.185,3.9457460954135064e-22,-4.739375767651277e-22,3.2,6.823387766841128e-21,-1.1067190482610827e-20,-2.14665479081601e-16,0.225,9.037911850603446e-20,0.38999999999999996,-1.6409205330876464e-20,-3.8321536439672414e-20,-2.1466708677417012e-16,0.225,0.0,0.38999999999999996,-1.9661681763149866e-20,-9.948789657262958e-21,5.0980376832001716e-21,3.927647788062425e-21,-9.227962801307292e-22,8.882569972695012e-19,-3.9067079630976657e-19,-1.367957275826675e-19,1.237528022765796e-19,1.2079123630104386e-20,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,3.8484,0.0,True
0.19,4.28764643013496e-22,-5.317954524904504e-22,3.2,6.836987351293521e-21,-1.2098036383373911e-20,-2.14665479081601e-16,0.225,9.792122051576156e-20,0.38999999999999996,-1.7352685563289312e-20,-4.2057794358339846e-20,-2.1466750355861002e-16,0.225,0.0,0.38999999999999996,-1.4905522444999596e-20,-1.184886290761322e-20,4.2823444834612514e-21,4.540454895129222e-21,-8.315293085540043e-22,1.013303224271948e-18,-3.6809161833911985e-19,-1.891714962264153e-19,1.202816679076236e-19,2.4808648400068957e-20,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,3.8480999999999996,0.0,True
0.195,4.627941491431913e-22,-5.951491511538033e-22,3.2,6.757839890743996e-21,-1.3269636373105682e-20,-2.14665479081601e-16,0.225,1.0687241734875535e-19,0.38999999999999996,-1.814637441090778e-20,-4.5953757107687115e-20,-2.1466792202359176e-16,0.225,0.0,0.38999999999999996,-9.551969569742764e-21,-1.3611694887922282e-20,3.2093832138762344e-21,5.119528573919761e-21,-6.711682457664566e-22,1.1273134440636918e-18,-3.3611494639141907e-19,-2.393455926962337e-19,1.1016547298783212e-19,3.96767243223863e-20,-1.4775084152686283e-17,2.9066296357478365e-18,1.8694572776896933e-15,3.8850999999999996,0.0,True
0.2,4.961795331681356e-22,-6.647609846707502e-22,3.2,6.578133695472241e-21,-1.460524814559582e-20,-2.14665479081601e-16,0.225,1.1717734449159878e-19,0.38999999999999996,-1.876767843719121e-20,-5.003685720813912e-20,-2.1466831895635312e-16,0.225,0.0,0.38999999999999996,-3.654119904859115e-21,-1.5195644259210588e-20,1.895339957214439e-21,5.6305329726687176e-21,-4.317597382715173e-22,1.2311258770321556e-18,-2.96869611116855e-19,-2.853002841491261e-19,9.302401692098765e-20,5.635934497599545e-20,-3.502676395653456e-17,5.443570302160724e-18,2.0552094320778464e-15,2.6818,0.0,True
0.20500000000000002,5.284832780082582e-22,-7.413570359014866e-22,3.2,6.343215749948099e-21,-1.603342311172926e-20,-2.14665479081601e-16,0.225,1.2880703229386096e-19,0.38999999999999996,-1.929552905811293e-20,-5.421252050223443e-20,-2.1466869649726829e-16,0.225,0.0,0.38999999999999996,2.7558987274108843e-21,-1.6577770309798223e-20,3.6152779962051814e-22,6.043746207769304e-21,-1.063286993344468e-22,1.3328815758758441e-18,-2.5598080911820005e-19,-3.282245788884424e-19,7.226127711924699e-20,7.381307059883274e-20,-3.502676395653456e-17,5.443570302160724e-18,2.0552094320778464e-15,2.6628000000000003,0.0,True
0.21,5.596120618941882e-22,-8.250945888754663e-22,3.2,6.1082978044239575e-21,-1.7461598077862697e-20,-2.14665479081601e-16,0.225,1.4176063115230663e-19,0.38999999999999996,-1.9823379679034698e-20,-5.838818379632975e-20,-2.1466907403818343e-16,0.225,0.0,0.38999999999999996,9.674695853899326e-21,-1.775545235039259e-20,-1.3869058316699846e-21,6.353145743861188e-21,3.063709677168101e-22,1.4346372747195327e-18,-2.1509200711954507e-19,-3.711488736277587e-19,5.149853731750632e-20,9.126679622167003e-20,-3.502676395653456e-17,5.443570302160724e-18,2.0552094320778464e-15,2.6597,0.0,True
