candidate_id,stage1_rank,sample_id,scenario,safe,solver_success,solver_valid,steady_state_valid,limiter_parity_valid,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms,limiter_mismatch_max,steady_state_residual_max,d_hat_norm_max,d_controllable_norm_max,d_uncontrollable_norm_max
dr_tsrmpc_005,2,wind_1p5__-y_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,4.955,0.08641698863138976,0.17670100364970387,,,0.03677502986525248,2.0317,0.0,2.7969066293879695e-17,0.007062051538141868,0.0070609862502090046,0.00038652799519408123
dr_tsrmpc_005,2,wind_3p0__-y_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,4.955,0.10980331248609432,0.7056126091303478,,,0.6055586062298699,1.6097,0.0,1.1510598495223932e-16,0.02883990552782634,0.028834452537966,0.00184846936242481
dr_tsrmpc_005,2,calm__+z_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,0.99,0.029780750412311516,0.0,,,0.11217005724800687,1.6935,1.9721522630525295e-31,1.369609075743664e-16,0.027713397904178566,2.3994101840752005e-07,0.027713397903139866
dr_tsrmpc_005,2,wind_1p5__+z_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,0.9900000000000002,0.034383662249595784,0.17721905470878088,,,0.14656244849796454,2.0385,0.0,1.5730640863653561e-16,0.028435241420952162,0.007114288155727618,0.027621585402931255
dr_tsrmpc_005,2,wind_3p0__+z_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,1.0099999999999998,0.07597548178278712,0.7076553018487829,,,0.7149681745664642,1.7582,0.0,1.7332468502502732e-16,0.0385534157739187,0.029034395254323237,0.027284765421200223
dr_tsrmpc_005,2,calm__-z_r0.15,CALM_3D_SETPOINT,True,True,True,True,True,True,0.99,0.029780750412311496,0.0,,,0.11217005724800738,1.7289,1.9721522630525295e-31,1.584851839102126e-16,0.027713397904178837,2.399410184074853e-07,0.027713397903140136
dr_tsrmpc_005,2,wind_1p5__-z_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,0.9900000000000002,0.034391450170686594,0.17632951357389975,,,0.1465845650996938,1.7904,0.0,1.3586554209314922e-16,0.02861051531418233,0.007031153187415652,0.027801993019377042
dr_tsrmpc_005,2,wind_3p0__-z_r0.15,WIND_3D_SETPOINT,True,True,True,True,True,True,1.005,0.07597831228112661,0.703985382999421,,,0.7153714280417957,1.6848,0.0,1.6991370163768555e-16,0.03916763412431185,0.028679684437463545,0.02816919715737161
dr_tsrmpc_005,2,calm__+x_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,2.6350000000000002,0.09132221860478364,0.44360553022905497,,,0.0961677292679326,1.6419,3.8853537964733675e-07,5.397748170788608e-17,0.015665581883176165,0.01564898365308561,0.0009037116085937322
dr_tsrmpc_005,2,wind_1p5__+x_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,2.6100000000000003,0.08918279714869817,0.4788046434949132,,,0.12625714863371126,1.6578,4.036161325160492e-07,6.333812515139398e-17,0.016408351069660685,0.016408321796831833,0.0009867953424461168
dr_tsrmpc_005,2,wind_3p0__+x_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,2.5200000000000005,0.09918461764556155,0.8497621919246133,,,0.6746751325372603,1.6404,3.761775484445451e-07,1.2386876449308965e-16,0.030581424451905977,0.030565336586762623,0.00184846936242481
dr_tsrmpc_005,2,calm__-x_r0.25,CALM_3D_SETPOINT,True,True,True,True,True,True,2.6350000000000002,0.09130804005845596,0.4440643153366492,,,0.09621653405974788,1.8298,3.885901519451451e-07,5.725380686988887e-17,0.015662063773420956,0.015634403554909363,0.001073977680112071
dr_tsrmpc_005,2,wind_1p5__-x_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,2.675,0.09746428107910521,0.4256697073930842,,,0.13117902303560366,1.8758,2.975505478675089e-07,6.998061403482574e-17,0.018190133320740987,0.018166594035891267,0.001016843890862212
dr_tsrmpc_005,2,wind_3p0__-x_r0.25,WIND_3D_SETPOINT,True,True,True,True,True,True,2.83,0.13082226609195638,0.7639876374694308,,,0.7154301063179553,1.6553,2.339847938737094e-07,1.4141702980603225e-16,0.03471229351154993,0.0346966007660398,0.00184846936242481
