sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum
v5d_strong_preexisting_cross_00,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,41.46812196760186,8.051506567962438,40.25956181445229,65.74443773823786,70.99745782174143,2.0,0.25,138.6255114750733,1.271449825392028,0.22573549893481112,[],1.0435,0.4896265560165975,0.004149377593360996,cross
v5d_strong_preexisting_cross_01,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,42.63117758486828,8.020388824386659,40.7229503385767,67.64934567660333,72.74197096692582,2.0,0.15142732555626,138.61081550107625,1.2322444237185253,0.22851844640102592,[],1.0948,0.5643153526970954,0.0,cross
v5d_strong_preexisting_cross_02,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,39.02610054407605,8.098363240331068,39.93681965703979,61.81305035132385,62.74389616386574,2.0,0.25,138.87607158910708,1.31299433518087,0.22573549893481112,[],1.0987,0.6431535269709544,0.004149377593360996,cross
v5d_strong_preexisting_cross_03,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,41.73646491302065,8.007230719822571,40.38652413681893,66.17831594664374,71.38142872799631,2.0,0.25,140.3539706296674,1.2494754666755112,0.22851844640102592,[],1.067,0.46473029045643155,0.004149377593360996,cross
v5d_strong_preexisting_cross_04,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,41.975688462543694,8.042391485705567,40.411000481617435,66.58055277260968,71.83803903232702,2.0,0.13780954663939182,138.72518199617306,1.250557329837016,0.22573549893481112,[],1.1038,0.6431535269709544,0.0,cross
v5d_strong_preexisting_cross_05,STRONG_PREEXISTING,paper_incremental_mpc,paper_b_021,True,False,,42.611906887629594,8.012409960340518,40.70334622121629,67.62022061128944,72.73078441720787,2.0,0.15139782095757728,138.62445860483402,1.2292549869329883,0.22851844640102592,[],1.0669,0.3153526970954357,0.0,cross
v5d_strong_simultaneous_aligned_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,21.784802848857964,7.572026752490232,12.288025691305135,34.30364615212984,56.228914646722096,2.0,0.14294956398678169,138.25047314815197,1.2711340439837393,0.24980932645532902,[],1.06,0.26556016597510373,0.0,aligned
v5d_strong_simultaneous_aligned_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,17.888304435167143,7.6329463052185,11.180912293311865,28.48316604972204,48.491488608861275,2.0,0.20961398383002433,138.55784568055668,1.3199489290519428,0.2574768417840751,[],1.0784,0.4605809128630705,0.0,aligned
v5d_strong_simultaneous_aligned_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,20.482035959358964,7.600991721508559,11.901649353501192,32.307359603217414,54.45688261821887,2.0,0.15472394105849321,138.67266238636702,1.2650861301800123,0.24864073936174272,[],1.0771,0.25311203319502074,0.0,aligned
v5d_strong_simultaneous_aligned_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,23.630258665993512,7.501430348111787,12.738904297217534,37.17674883115092,58.18900137849103,2.0,0.13844434811581663,138.69143433651834,1.2557828444769827,0.266690828495747,[],1.0586,0.33195020746887965,0.0,aligned
v5d_strong_simultaneous_aligned_04,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,23.69974339854296,7.546323670286721,13.163262232726519,37.34487201005809,58.34746180333281,2.0,0.13905526361425724,138.6844639010206,1.2528410444960487,0.25412549215777047,[],1.0976,0.26556016597510373,0.0,aligned
v5d_strong_simultaneous_aligned_05,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,23.1178709819031,7.512679564999476,12.450925587970028,36.34604809571616,57.72096377525228,2.0,0.2434784293958224,138.79916799262892,1.2748395940845836,0.26554702119625173,[],1.0943,0.3983402489626556,0.0,aligned
v5d_strong_simultaneous_opposed_00,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,23.832421198130405,7.655812934695813,15.009092184806287,37.80119943797677,58.18787051755873,2.0,0.13526588744588408,138.53101270992434,1.2560971311905567,0.26352149304821404,[],1.1338,0.36099585062240663,0.0,opposed
v5d_strong_simultaneous_opposed_01,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,21.299857686316344,7.702159116303379,14.140638335669887,33.9124579994868,54.516057155580626,2.0,0.24999999999999997,138.87079216566025,1.283102692218112,0.25236357667511655,[],1.0943,0.27385892116182575,0.004149377593360996,opposed
v5d_strong_simultaneous_opposed_02,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,21.919434005762238,7.717376398609662,14.908629064479062,34.95173282517971,55.027408705402166,2.0,0.21120850830261395,139.14052471694504,1.2718928548877904,0.26099770829927216,[],1.137,0.45643153526970953,0.0,opposed
v5d_strong_simultaneous_opposed_03,STRONG_SIMULTANEOUS,paper_incremental_mpc,paper_b_021,True,False,,25.208437827237496,7.641156526420997,15.893787257142654,40.01283006064056,59.6739295138593,2.0,0.14072553014055278,139.06086216342857,1.2046125254245996,0.27114089475446956,[],1.1114,0.2946058091286307,0.0,opposed
