sample_id,scenario,wind_kind,wind_speed_m_s,seed,sample_count,safe,safe_sample_count,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_ax_m_s2,max_abs_ay_m_s2,max_abs_az_m_s2,max_ax_step_m_s2,max_ay_step_m_s2,max_az_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,solve_time_mean_ms,solve_time_p95_ms,safety_failure_reasons,controller,candidate_id
constant_1.5_face_diagonal_09,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,2.2750000000000004,0.06492450074732921,0.1883902442891859,0.20074439133762464,0.025157610346861054,0.7373666406833895,0.125,1.0873155758381465,0.9716698799699479,0.125,0.25,0.25000000000000006,133.40805694435588,1.2026169990043751,0.023432823254294632,0.11943032069970846,0.1585,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_10,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,2.2750000000000004,0.0649245007473292,0.18839024428918671,0.20074439133762462,0.025157610346861096,0.7373666406833813,0.125,1.0873155758381263,0.971669879969959,0.125,0.25,0.25000000000000006,133.408056944356,1.2026169990043534,0.023432823254294632,0.10335381091211997,0.152,[],paper_lv2026,paper_a_001
constant_1.5_face_diagonal_11,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,2.295,0.06540575428348633,0.1896403426144772,0.20087045809889517,0.025200988293309315,0.7288185473770945,0.125,1.1615198593593066,0.9710413171363808,0.125,0.25,0.25,142.74891361723448,1.1124380014571245,0.023432823254294632,0.10356289046230736,0.144,[],paper_lv2026,paper_a_001
constant_3_axis_00,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,False,,0.13659094594048368,1.2569244808905238,0.24159455257947926,0.13990047150054058,0.7750306954574377,0.8143276603432142,2.550183790001795e-15,0.01557832472118583,0.25,2.0623778968555174e-15,0.006697729605388702,130.07092285031376,1.026627264733163,0.12033157966172202,0.11296093294460642,0.1457,[],paper_lv2026,paper_a_001
constant_3_axis_01,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,False,,0.15291778981740012,0.8356878743343465,0.27569629595275014,0.13295613784069957,0.7608212445863282,1.1856723396567856,1.602856255764142e-15,0.01805223159350551,0.25,2.0906621489104197e-15,0.008646715536226422,130.19124559931853,0.9666905951089293,0.13077569685584026,0.08454739691795085,0.1272,[],paper_lv2026,paper_a_001
constant_3_axis_02,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,False,,0.14449422310075,0.7724075310026038,0.19570433141333612,0.13611101710705548,1.179601536431178,0.4040214272855893,1.2279966171344734,0.013424251533743515,0.125,0.25000000000000006,0.006697729605388702,130.00283274245177,1.2625292334755545,0.09704011231905374,0.09012099125364433,0.1218,[],paper_lv2026,paper_a_001
constant_3_axis_03,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,False,,0.14449422310075005,0.7724075310026026,0.19570433141333624,0.13611101710705545,1.1796015364311803,0.4040214272855893,1.2279966171344745,0.013424251533743515,0.125,0.25,0.006697729605388702,130.00283274245177,1.2625292334755556,0.09704011231905374,0.1008134110787172,0.1105,[],paper_lv2026,paper_a_001
constant_3_axis_04,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,False,,0.13583174441495574,0.7774274942554036,0.19488011359865642,0.13608019364047885,0.7516746038220793,0.4040214272855893,1.0671985432829658e-14,1.0015449747413094,0.125,1.1159791325975935e-14,0.25000000000000006,143.16301505139603,0.3066686635130135,0.09704011231905374,0.07436697209496043,0.1025,[],paper_lv2026,paper_a_001
constant_3_axis_05,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,False,,0.13567128421283983,0.7672290805416584,0.1965250925242286,0.13595416478712927,0.7492043610308148,0.4040214272855893,1.1619312967067344e-14,0.9984550252586907,0.125,1.1131507073921067e-14,0.25,133.3800958527297,0.3066686635130135,0.09704011231905374,0.08759629321116202,0.1183,[],paper_lv2026,paper_a_001
constant_3_face_diagonal_00,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,False,,0.14625161472659665,1.2298210045058335,0.2387045465544392,0.13988686841373413,1.3046575386529886,0.8143276603432142,1.12802536924259,0.013424251533743515,0.25,0.25000000000000006,0.006697729605388702,130.0436745854572,1.155908406988545,0.11879918400821868,0.08850891295293628,0.1216,[],paper_lv2026,paper_a_001
