controller,stage2_rank,sample_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,control_effort,x_control_effort,total_acceleration_effort,max_abs_ax_m_s2,max_ax_step_m_s2,max_abs_ay_m_s2,max_ay_step_m_s2,max_abs_az_m_s2,max_az_step_m_s2,max_cutter_angular_speed_rad_s,max_thrust_N,max_abs_torque_Nm
pid,1,wind_3p0__-z_r0.25,True,False,,0.2018635330515855,1.106121911613034,,,0.6170795867318838,0.6170795867318838,0.8962964713533909,0.3851947526128708,0.04641120910009086,0.0,0.0,1.016920875310609,0.25,0.10069606360324712,133.96203848515822,0.20207462197143172
pid,1,stochastic_dev_0000,True,True,4.755,0.07687797677771993,0.5723595593223898,,,0.03728677129801085,0.03728677129801085,0.03891037821053068,0.13834932444455836,0.12213121309559143,0.0,0.0,0.04035143231023214,0.01621895482517768,0.054958123529738556,130.41783894456606,0.16901612932569537
pid,1,stochastic_dev_0001,True,True,2.3449999999999998,0.07631998483736832,1.0316956001314546,,,0.07823453627801313,0.07823453627801313,0.08368148812159823,0.1596161028476142,0.11583316957807815,0.0,0.0,0.06798639329591914,0.01683877021727557,0.0792428477237054,130.79105901902062,0.23129257855538862
pid,1,stochastic_dev_0002,True,True,5.855,0.09305239266789235,0.5815842130654593,,,0.03063200079080487,0.03063200079080487,0.03429622350709481,0.15349581812982865,0.016655772494202352,0.034427217075784056,0.015,0.029141754615223368,0.013807796803494352,0.06434122165345924,130.26872327870285,0.13674246633826534
pid,1,stochastic_dev_0003,True,True,5.09,0.08732721512050287,0.3669122576013155,,,0.011884113243949812,0.011884113243949812,0.015224132988531633,0.06961982717410464,0.014761981848569666,0.03441753056629954,0.015,0.03354893593096203,0.01059922486436446,0.04729204502746188,130.18010798303135,0.08544259824176723
pid,1,stochastic_dev_0004,True,True,1.0149999999999997,0.043521353078744655,0.5535017366368797,,,0.03274631175626639,0.03274631175626639,0.15432922720858455,0.12393871734499938,0.02053090346704784,0.0,0.0,0.7656800051296822,0.25,0.04772685235932422,140.02199810523425,0.15998921789970583
pid,1,stochastic_dev_0005,True,True,1.0,0.03960310228337071,0.447146755677351,,,0.015191718922145995,0.015191718922145995,0.12843305901535246,0.08112084251617079,0.010880474334412641,0.0,0.0,0.7499874310520604,0.25,0.0420365680424344,132.6163719020084,0.09959020380241289
pid,1,stochastic_dev_0006,True,False,,0.11500370263887892,0.854527942350038,,,0.06362424777900585,0.06362424777900585,0.06693178106698967,0.21163599134799901,0.20115342554693824,0.0,0.0,0.03892381192776958,0.014882351490568092,0.06766568881014322,130.396967953471,0.31315194305453087
pid,1,stochastic_dev_0007,True,True,4.98,0.08512744321610936,0.22699779047678595,,,0.032793787614428166,0.032793787614428166,0.03394472419829341,0.24804278458774442,0.20136181541863526,0.0,0.0,0.030544085809857457,0.012253773447922101,0.04161305255166972,130.27794591640497,0.3196398727919355
pid,1,stochastic_dev_0008,True,True,5.365,0.14250336292872592,0.2833278156706126,,,0.014169021420508306,0.014169021420508306,0.022076864246726793,0.0996701417617923,0.024960417589297623,0.05734589606518696,0.025,0.04932331169313645,0.020587087808369958,0.056158536448944696,130.54041117980688,0.08246638664629503
pid,1,stochastic_dev_0009,True,True,5.375,0.14143121193383057,0.15173866058188543,,,0.002466347455231632,0.002466347455231632,0.009116607832991053,0.04833315077520714,0.009796091846612353,0.057354865670422965,0.025,0.019642822266316494,0.00844299190724565,0.021405577178745392,130.14311322643866,0.07471423429400711
pid,1,stochastic_dev_0010,True,False,,0.08058630078933239,1.1260497684596886,,,0.08816718435479214,0.08816718435479214,0.3499413593277732,0.22985239932365456,0.030998514582079556,0.0,0.0,0.9933943891262786,0.25,0.08919506854070455,143.0355574532239,0.2050002233789334
pid,1,stochastic_dev_0011,True,True,1.25,0.05244239612954263,0.18059116092179955,,,0.0038124883456516273,0.0038124883456516273,0.28259143014580196,0.053183430188735885,0.007292731534416751,0.0,0.0,1.003504267257683,0.25,0.018546305908484093,134.2939432830596,0.04810871856371813
pid,1,stochastic_dev_0012,True,True,2.7350000000000003,0.0629561246065566,0.32597291931738187,,,0.013330569492144161,0.013330569492144161,0.013789827088300368,0.1060567867475775,0.12053800203772978,0.0,0.0,0.01945797407915396,0.0062047521558329845,0.027067632156601282,130.0271194196065,0.19240086068202422
pid,1,stochastic_dev_0013,True,True,2.705,0.0716969303369374,0.6364886845140878,,,0.032018116149330395,0.032018116149330395,0.03372034979277119,0.1453283457932778,0.12313716659529303,0.0,0.0,0.028609400728347,0.008588372746226682,0.04920372628669248,130.25514506680983,0.21126113195427437
pid,1,stochastic_dev_0014,True,False,,0.09064176774787973,0.5728382987155,,,0.025671613906423252,0.025671613906423252,0.029450938576124113,0.12912089608515992,0.018956796555901677,0.034481678140851874,0.015,0.026946719495485945,0.012998769499353382,0.041746167458610685,130.2375704178092,0.13876698491034795
pid,1,stochastic_dev_0015,True,True,5.045,0.08562244944529974,0.13386039535570937,,,0.007562346916204443,0.007562346916204443,0.010248964996066532,0.0835656878232223,0.013443362171512714,0.03441478559714106,0.015,0.019780458293234722,0.010690119136872567,0.02049428505865727,130.14695636363703,0.04483724312413205
pid,1,stochastic_dev_0016,True,True,1.0750000000000002,0.04145436131882093,0.5739840122295939,,,0.017238771536607838,0.017238771536607838,0.13258620132679882,0.08878719747817111,0.014978383355165659,0.0,0.0,0.7438011674175384,0.25,0.03782710421277359,139.73114572347924,0.11954696641191322
pid,1,stochastic_dev_0017,True,True,1.005,0.034074236880036794,0.18742423985474926,,,0.016116360623916054,0.016116360623916054,0.13497457601406826,0.10317074973021008,0.01774416129526675,0.0,0.0,0.7668796747387233,0.25,0.05100992579014029,132.6386175507491,0.03390840955456807
pid,1,stochastic_dev_0018,True,True,6.950000000000001,0.11535367152201846,0.6631538675355575,,,0.03891124650077314,0.03891124650077314,0.04120575359571726,0.2057926855624798,0.20260784788365413,0.0,0.0,0.03155804281415689,0.013130492686764358,0.05156648040609091,130.30187077939993,0.31418002029902714
pid,1,stochastic_dev_0019,True,False,,0.10580665673957981,0.8014430892621747,,,0.05382008382542819,0.05382008382542819,0.05674711262806459,0.18454304068291905,0.1994908075173482,0.0,0.0,0.0468943939854089,0.013530776073551479,0.06219274113558478,130.51208839365074,0.30511309697557987
