candidate_id,stage1_rank,sample_id,safe,solver_success,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms,limiter_mismatch_max
of_ts_rmpc_025,3,wind_1p5__-y_r0.25,True,True,False,,0.15618161084708038,0.15268712315309263,,,0.03937234709618708,1.0886,0.0
of_ts_rmpc_025,3,wind_3p0__-y_r0.25,True,True,False,,0.30675009345575976,0.6107417510002755,,,0.5739847398344852,1.3922,0.0
of_ts_rmpc_025,3,calm__+z_r0.25,True,True,True,1.25,0.05180510724881431,0.0,,,0.2795887855244298,1.3121,3.0814879110195774e-33
of_ts_rmpc_025,3,wind_1p5__+z_r0.25,True,True,False,,0.0845809789533294,0.15314734041531763,,,0.3130696821369889,1.0611,0.0
of_ts_rmpc_025,3,wind_3p0__+z_r0.25,True,True,False,,0.2770893724579783,0.611553170163554,,,0.8483551994012937,0.9554,0.0
of_ts_rmpc_025,3,calm__-z_r0.25,True,True,True,1.25,0.05180510724881431,0.0,,,0.2795887855244335,0.9692,3.0814879110195774e-33
of_ts_rmpc_025,3,wind_1p5__-z_r0.25,True,True,False,,0.08456668329279858,0.15248061122778928,,,0.31181987417247103,1.0582,0.0
of_ts_rmpc_025,3,wind_3p0__-z_r0.25,True,True,False,,0.2773468432352334,0.6084759445534258,,,0.8459935786443722,0.9726,0.0
of_ts_rmpc_025,3,stochastic_dev_0000,True,True,True,2.1950000000000003,0.06227285607222495,0.30422133107235305,,,0.05449629429504523,1.0386,8.673617379884035e-19
of_ts_rmpc_025,3,stochastic_dev_0001,True,True,True,3.135,0.049807515978462356,0.42067512752160874,,,0.05754732637244374,0.9338,3.469446951953614e-18
of_ts_rmpc_025,3,stochastic_dev_0002,True,True,True,6.140000000000001,0.09201817885080804,0.22580962010040553,,,0.016630504186249225,1.0884,1.734723475976807e-18
of_ts_rmpc_025,3,stochastic_dev_0003,True,True,True,5.040000000000001,0.0873541344001387,0.1733023808277516,,,0.010433149799353251,1.2365,1.734723475976807e-18
of_ts_rmpc_025,3,stochastic_dev_0004,True,True,True,1.005,0.036309604907016714,0.20976866951521211,,,0.12363466053763823,1.0208,4.336808689942018e-19
of_ts_rmpc_025,3,stochastic_dev_0005,True,True,True,0.9849999999999999,0.035524976039678996,0.1336653563360613,,,0.1180971988552659,0.9316,1.734723475976807e-18
of_ts_rmpc_025,3,stochastic_dev_0006,True,True,True,2.66,0.09776447987111647,0.47780397987096346,,,0.12192386549477045,0.9614,5.011727786108366e-07
of_ts_rmpc_025,3,stochastic_dev_0007,True,True,True,2.0,0.055836399542200266,0.25891699814417146,,,0.10931196650361388,0.9824,4.6490394256526457e-07
of_ts_rmpc_025,3,stochastic_dev_0008,True,True,True,5.555,0.1433155639062839,0.14416109269186417,,,0.0211983429688794,1.0495,1.734723475976807e-18
