sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign,residual_clip_fraction_mean,residual_clip_fraction_p95,residual_clip_fraction_max,trust_mean,trust_p95,trust_max,residual_unrepresented_norm_mean,residual_unrepresented_norm_p95,residual_unrepresented_norm_max,residual_debt_norm_mean,residual_debt_norm_p95,residual_debt_norm_max,steady_equality_residual_mean,steady_equality_residual_p95,steady_equality_residual_max,steady_task_residual_mean,steady_task_residual_p95,steady_task_residual_max,requested_steady_input_max_abs_mean,requested_steady_input_max_abs_p95,requested_steady_input_max_abs_max,feasible_steady_input_max_abs_mean,feasible_steady_input_max_abs_p95,feasible_steady_input_max_abs_max,backbone_norm_mean,backbone_norm_p95,backbone_norm_max,qp_correction_norm_mean,qp_correction_norm_p95,qp_correction_norm_max,limiter_mismatch_mean,limiter_mismatch_p95,limiter_mismatch_max,steady_infeasibility_fraction,steady_constraint_activity_fraction,reachable_constraint_activity_fraction,solver_success_rate,qp_iterations_max
v5d_strong_post_target_opposed_05,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.230835306791588,0.8430517804318647,0.29285464854552706,0.30181211759390925,1.3203579346624774,1.0,0.25000000000000006,140.65019092910663,1.0363288760346772,0.1499507401530851,[],0.0392,0.0,0.07883817427385892,opposed,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_cross_00,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,True,2.06,0.22634964545864686,0.7287168078715673,0.29262367703168274,0.3016951062433926,1.2001418232264967,1.0000000000000002,0.25000000000000006,132.33581832619691,1.125824280738442,0.13351114965721755,[],0.0394,0.0,0.03319502074688797,cross,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_cross_01,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.23628917079325026,0.7302684127394551,0.292949399113637,0.301733544338021,1.9972153818599203,1.5000000000000002,0.25000000000000006,130.62456030638884,1.576676935706942,0.13042382765667163,[],0.0251,0.016597510373443983,0.07883817427385892,cross,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_cross_02,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,True,0.905,0.22248215845430247,0.7293467091339997,0.2929688579631574,0.3016845980823386,1.0027013565119436,0.9999999999999984,0.25,134.55832594407383,0.6644747335887591,0.13300705100956575,[],0.0258,0.0,0.04564315352697095,cross,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_cross_03,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.22985912661433286,0.7293879837531074,0.29387374542097194,0.30170995482303625,1.4048378790505414,1.1671207035252622,0.25000000000000006,143.1308749392779,1.103255894460653,0.133252467636433,[],0.0376,0.0,0.04149377593360996,cross,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_cross_04,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.2292723108287251,0.7285608748478487,0.2927053462537183,0.30169397416983085,1.3516399764649305,1.2500000000000002,0.25000000000000006,131.00867005533706,1.297749066371603,0.13297796013000376,[],0.0251,0.0,0.05394190871369295,cross,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_strong_post_target_cross_05,STRONG_POST_TARGET,task_lqr,task_lqr_009,True,False,,0.23622211957282818,0.7285617751052791,0.29340574354431637,0.3017233616195853,1.942076015811908,1.5000000000000002,0.25000000000000006,135.71947473386854,1.52545035193418,0.1331328955195344,[],0.0362,0.016597510373443983,0.07883817427385892,cross,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_stochastic_4500,NORMAL_STOCHASTIC,task_lqr,task_lqr_009,True,True,1.9750000000000005,0.06479779769085171,0.47257877549379307,0.17054612208522588,0.04187275970520117,0.5642719321928188,1.0049091362152536,0.25000000000000006,136.56126150236966,1.025150409583683,0.15848328625469715,[],0.0394,0.0,0.07468879668049792,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_stochastic_4501,NORMAL_STOCHASTIC,task_lqr,task_lqr_009,True,False,,0.15523868093867677,5.926813880632694,0.23619295759676012,0.19677020120565533,15.76984502104121,2.0,0.25,139.9134051532766,1.7055751883580503,0.6803577449051493,[],0.0382,0.5892116182572614,0.5850622406639004,opposed,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_stochastic_4502,NORMAL_STOCHASTIC,task_lqr,task_lqr_009,True,True,1.9100000000000001,0.05263663995726592,0.3440962814606891,0.1780430057084626,0.008663796027216364,0.39817634181793077,1.0084087418662409,0.25,136.54690328086232,1.0314364086992094,0.133764581340483,[],0.0404,0.0,0.07053941908713693,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
