time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,ax_cmd,ay_cmd,az_cmd,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
0.17500000000000002,-8.778377700912432e-35,-1.9466216308849016e-34,3.2,0.225,2.8802593584626326e-32,0.38999999999999996,4.069018019003334e-33,-2.3726541958810518e-33,-2.1466547908160103e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.2021332888041494e-30,4.02732060154039e-31,1.3257413744864128e-15,True,1.2998190842773183e-32,-9.95173268427924e-34,-1.3900170414684329e-33,-4.235266816817288e-34,1.2592538478338174e-34,1.7488099428016646e-31,1.8974044458725555e-32,-1.7733124134253168e-32,-1.8179411545773766e-32,8.943954999178664e-34
0.18,-1.003643950476063e-34,-2.1861494422694307e-34,3.2,0.225,3.1044767827666495e-32,0.38999999999999996,4.570301552173647e-33,-3.211617892774707e-33,-2.1466547908160103e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.2021332888041494e-30,4.02732060154039e-31,1.3257413744864128e-15,True,1.3874292684578827e-32,-8.930443332165806e-34,-1.473279926141845e-33,-5.1849895491716455e-34,1.281717192760934e-34,1.7555974244209074e-31,2.187752962581187e-32,-1.5572029735111727e-32,-1.9809497748400537e-32,4.138297166791037e-36
0.185,-1.1418671159969602e-34,-2.447000299483211e-34,3.2,0.225,3.3331882466918963e-32,0.38999999999999996,5.110283569883602e-33,-4.094881882097373e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.2021332888041494e-30,4.02732060154039e-31,1.3257413744864128e-15,True,1.475357479161123e-32,-7.777200710009786e-34,-1.5445942316782946e-33,-6.210615854529898e-34,1.2535044359558923e-34,1.7615310037087082e-31,2.4252175260428907e-32,-1.2953692479468062e-32,-2.1215554465929586e-32,-1.1326485693684543e-33
0.19,-1.2932202851774472e-34,-2.7311014136281596e-34,3.2,0.225,3.566156524583494e-32,0.38999999999999996,5.689781499512632e-33,-5.02336928170325e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.2021332888041494e-30,4.02732060154039e-31,1.3257413744864128e-15,True,1.5635658863671644e-32,-6.518164527061209e-34,-1.6018921246084928e-33,-7.298902619427408e-34,1.1618983986662106e-34,1.766805284532935e-31,2.610927205751416e-32,-9.965464692611203e-33,-2.231591612997078e-32,-2.5315929222188234e-33
0.195,-1.458419909004877e-34,-3.040418661270128e-34,3.2,0.225,3.803151646765563e-32,0.38999999999999996,6.309609890197264e-33,-5.9979600387161965e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.2021332888041494e-30,4.02732060154039e-31,1.3257413744864128e-15,True,1.6520247343642376e-32,-5.178526474015906e-34,-1.6435641613575068e-33,-8.432715159038204e-34,9.936108324411485e-35,1.7715486353500037e-31,2.7476250064297974e-32,-6.703350006994524e-33,-2.3036585454461073e-32,-4.1999097267836605e-33
0.2,-1.63818604835195e-34,-3.376954790262394e-34,3.2,0.225,4.0439506262198816e-32,0.38999999999999996,6.970586576504913e-33,-7.019492445425838e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.0122349373125522e-30,1.3633444256407142e-30,1.3257413744864128e-15,True,1.740709289665888e-32,-3.7817988129692156e-34,-1.6684881002677108e-33,-9.591518210076575e-34,7.352384924846491e-35,1.775833576716013e-31,2.839285637756965e-32,-3.266225557087113e-33,-2.3315536587073847e-32,-6.134983871476311e-33
0.20500000000000002,-1.8331876988850522e-34,-3.7380730333517243e-34,3.2,0.225,4.287300013254405e-32,0.38999999999999996,7.673506447076779e-33,-8.718773040052446e-33,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.0122349373125522e-30,1.3633444256407142e-30,1.3257413744864128e-15,True,1.8289783843341615e-32,-2.3197805579040533e-34,-1.6768136917189607e-33,-1.0750055173390824e-33,3.7337256239839675e-35,1.754930210014899e-31,3.008787382503685e-32,-6.401102341293328e-35,-2.3025941945496123e-32,-8.33965333197378e-33
0.21,-2.043732905832438e-34,-4.120126251808167e-34,3.2,0.225,4.5320572021815435e-32,0.38999999999999996,8.376426317648546e-33,-1.0418053634679054e-32,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.0122349373125522e-30,1.3633444256407142e-30,1.3257413744864128e-15,True,1.916202310667378e-32,-7.730114304655305e-35,-1.6691282105018402e-33,-1.1894112404626185e-33,-9.872684071272899e-36,1.734026843313785e-31,3.178289127250405e-32,3.138203510261246e-33,-2.27363473039184e-32,-1.054432279247125e-32
0.215,-2.269821669194106e-34,-4.523114445631722e-34,3.2,0.225,4.77822381023921e-32,0.38999999999999996,9.079346188220417e-33,-1.2117334229305662e-32,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.0122349373125522e-30,1.3633444256407142e-30,1.3257413744864128e-15,True,2.002381068665539e-32,8.585085693463522e-35,-1.6454316566163486e-33,-1.3023689903782662e-33,-6.810597168487282e-35,1.713123476612671e-31,3.347790871997125e-32,6.340418043935425e-33,-2.2446752662340675e-32,-1.274899225296872e-32
0.22,-2.5114539889700574e-34,-4.947037614822388e-34,3.2,0.225,5.025801423476419e-32,0.38999999999999996,9.782266058792277e-33,-1.3816614823932272e-32,-2.14665479081601e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,-1.0122349373125522e-30,1.3633444256407142e-30,1.3257413744864128e-15,True,2.0875146583286446e-32,2.574779441531595e-34,-1.6057240300624858e-33,-1.4138787670860254e-33,-1.373626066009601e-34,1.692220109911557e-31,3.517292616743845e-32,9.542632577609606e-33,-2.215715802076295e-32,-1.4953661713466196e-32
