sample_id,task_family,wind_kind,wind_direction,safe,success,safety_reasons,failure_mechanism,endpoint_position_error_m,endpoint_velocity_error_m_s,position_rmse_m,velocity_rmse_m_s,orientation_rmse_rad,max_requested_or_applied_thrust_N,max_requested_or_applied_torque_Nm,thrust_saturation_rate,torque_saturation_rate,max_true_external_force_N,runtime_mean_ms,runtime_p95_ms,semantic_fingerprint,execution_authority
native_development_098,setpoint,moderate,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,3.6290073965802354,0.0802215594209481,2.734427704948352,1.495132861366782,1.7658872351404502,136.47690002945959,"[25.0,22.802957026468366,12.0]",0.5140833333333333,0.6070833333333333,1.39434150359256,0.07654454861111112,0.1291,40b6dc4ef7a992dd3183eb70a399ebf509d8272137062bf997cf00518e84b99a,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_099,smooth_trajectory,moderate,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,2.2289935755822285,0.13183846273897795,1.1378540796424568,1.7197944530553497,0.8580652489265971,145.31195097785198,"[25.0,25.0,12.0]",0.06975,0.16858333333333334,2.4969685006217945,0.07706675694444444,0.1306,41d81ee32fb9dcaeb036eb0f6ed5377f49dc6e1d670c6fb6472955e50012a109,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_100,setpoint,strong_sustained,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,2.6274882255041545,0.01570014969573263,1.7716720059192135,1.8613946708569797,1.6905560699533235,145.9146918737894,"[25.0,17.72338336124569,12.0]",0.24625,0.3383333333333333,34.61883972058479,0.07675609722222222,0.1295,b210b653a2495f6019ef5355496699cb57e9f16d8f98a821d9c12241161f9273,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_101,smooth_trajectory,strong_sustained,cross,False,False,"[""attitude"",""tip_workspace"",""uav_workspace""]",SAFETY_OR_AUTHORITY_LIMIT,8.233432296772708,6.707525787041098,6.740538499099113,2.8440585375215948,0.3017520300571237,171.42943342320626,"[23.898763316161126,2.23655069557764,8.112040023643894]",0.0,0.0,46.199113082888836,0.07997331249999999,0.1343,e5bd28bf64bcaefbdd42d39f229bba5f56b303f1e51df17932bd9530be9615c3,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_102,setpoint,strong_transient,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,3.6894679669713035,0.05325565756563217,3.086533395760562,2.6044741983432376,1.389160933339734,146.13685221695062,"[25.0,25.0,12.0]",0.2695,0.35683333333333334,2.5696274184721983,0.07842858333333333,0.1309,b00b5a010f021d4a3b82fff12bf314cae399f79d50290d126e0f3a073c5e4951,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_103,smooth_trajectory,strong_transient,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,4.908673037096934,0.0010608595777364992,2.284773008376581,1.50212376850599,1.0684919384256837,135.78833284747301,"[25.0,9.555515304275882,12.0]",0.20533333333333334,0.30183333333333334,3.6132349066333025,0.0784274236111111,0.1314,40186d47f72f02ec844eecfdb03d5793b418cdfbddfcb2b0dee71a1197dafdca,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_104,setpoint,stochastic,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,0.9057070047188679,0.6010862098396204,1.8054282009761145,2.039696612740333,2.580231794404604,152.4382330092637,"[25.0,25.0,12.0]",0.4078333333333333,0.49116666666666664,1.9561721730066681,0.07561296527777778,0.12789999999999999,e020a9e9076be6b860c5aac58fdd71d5eb860203b511f31c5853be269ea99bd5,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_105,smooth_trajectory,stochastic,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,4.430758894399722,0.0008275835616395298,1.8571880013365412,1.5361143249720925,1.89891947166704,136.69430241363762,"[25.0,19.492959973708935,12.0]",0.17741666666666667,0.27225,1.2766341478002576,0.07780677083333333,0.1304,9447888e10be615635c550d6ff8d5b7a0f384683d621173b6186dae3982f72c8,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_106,setpoint,ramp,cross,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,4.776602496002299,0.2743644070688696,3.397890053404936,1.6229796128541432,3.720167184642604,136.16030184870885,"[25.0,25.0,12.0]",0.49,0.6188333333333333,10.351926685064786,0.07575188888888888,0.12869999999999998,66e12186de3ab4132e1e5a9c4b6ebea21318d9d7e68e1a882cfe82c78caf3fe8,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_107,smooth_trajectory,ramp,cross,False,False,"[""attitude"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,2.889213571938539,2.5731837507952258,1.6758472331785237,2.215658603893233,0.46967593210012104,151.03814756117805,"[25.0,9.687084960995064,12.0]",0.006,0.12283333333333334,38.763346060502634,0.07827986805555555,0.1328,720a0a547405ca7f40c89b2004d56165985d73c634b7b0fc683bddecb7f0fc34,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_108,setpoint,calm,aligned,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,1.2564045717322851,0.008298944759549474,1.733277443386075,2.0191402503932263,1.7878634002153966,149.78267460107523,"[25.0,25.0,12.0]",0.3943333333333333,0.4825,0.21954124184665047,0.07601034027777778,0.1286,4546ff4fb3b0a3768161f111192006a4e207664efb5839e3fc09fddced6e7d57,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_109,smooth_trajectory,calm,aligned,True,True,[],ENDPOINT_REACHED,0.06343343542040765,0.02347782944602688,0.024027380060906742,0.04355686405568574,0.011690884415023783,129.93798670231695,"[0.16209593854995324,0.16388700270177162,0.0027618729074615463]",0.0,0.0,0.017951040416359774,0.07655722916666664,0.1291,41b97668b3c044f46d9ff6a23e582180b51cfc0aef8b32672b37153d2e623636,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_110,setpoint,moderate,aligned,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,6.543946220918628,0.13964741980968642,2.0456282681229085,1.8613391481526909,1.1357440110503145,136.52956987960334,"[25.0,25.0,12.0]",0.0955,0.19975,2.0122960676152606,0.07717006944444445,0.1306,a002f37c7116e1c98e78fe9f9fb733946dc0c4b1cd557d15049fb6d4683e824a,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_111,smooth_trajectory,moderate,aligned,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,3.8237317624008758,4.003123898156815,1.0138804743494607,1.7531337523047497,0.6520695020968257,142.1160969047736,"[25.0,25.0,12.0]",0.0425,0.14291666666666666,4.763608208395324,0.07608611805555554,0.1289,00965fa0b5669ad806d1999073668bb77775ac6d6d9be7444e183cc036311836,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_112,setpoint,strong_sustained,aligned,False,False,"[""attitude"",""joint_angle"",""uav_height""]",SAFETY_OR_AUTHORITY_LIMIT,3.4722872835533067,0.0010528305372021396,2.4363074883018525,1.9453204319195085,1.9281231017969918,147.37446647101174,"[25.0,23.761433700942156,12.0]",0.3883333333333333,0.48183333333333334,15.31921849098795,0.07704433333333334,0.1299,465d781a06d4b48f56ad67ec9204d46b986d26c16c2f516b4645117caf8090b3,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
native_development_113,smooth_trajectory,strong_sustained,aligned,False,False,"[""attitude"",""joint_angle"",""tip_workspace"",""uav_height"",""uav_workspace""]",SAFETY_OR_AUTHORITY_LIMIT,12.064475727865336,0.00044324536936723926,6.379915117889538,2.1469170748451685,2.3093748129058604,138.55122704515762,"[25.0,23.019644024180128,12.0]",0.24575,0.36466666666666664,7.605354978337161,0.07884037499999999,0.1328,803d77ffd6e897bba6537b943109f0ae415eb0f7fad895f6f6997afb82cd933c,NONCAUSAL_DIAGNOSTIC_FEASIBILITY_ORACLE_NO_SELECTION_AUTHORITY
